,accuracy,precision,recall,f1_score,roc_auc,cv_accuracy_mean,cv_accuracy_std
Random Forest,0.9457111834961998,0.9510086455331412,0.9090909090909091,0.9295774647887324,0.9833797407111191,0.9516304347826088,0.012992427269436887
Gradient Boosting,0.9391965255157437,0.9373219373219374,0.90633608815427,0.9215686274509803,0.9825947648528294,0.9453804347826088,0.013240138820738977
Logistic Regression,0.9294245385450597,0.9209039548022598,0.8980716253443526,0.9093444909344491,0.9701956021604116,0.9239130434782608,0.008197338657064318
SVM (RBF),0.9272529858849077,0.9277456647398844,0.8842975206611571,0.9055007052186178,0.9666854270959843,0.9328804347826086,0.008575942303293211
Naive Bayes,0.8327904451682954,0.7145790554414785,0.9586776859504132,0.8188235294117647,0.9376116986087661,0.8165760869565217,0.009134639301071524
